pin14,year,month,price,class,sqftl,age,sqftb,rooms,bedrooms,basement,aircond,fireplace,attic,bathrooms,garage1,garage2,longitude,latitude,brick
12141190110000,2015,9,360000,203,5750,39,1294,6,3,1,1,0,0,1,0,1,-87.8445410340011,41.9646295128369,1
12144020120000,1993,5,120000,207,3450,55,1058,4,2,0,0,0,0,1,1,0,-87.8363105,41.954684,0
12144040940000,1998,7,125000,202,5456,67,914,5,2,0,0,0,0,1,0,0,-87.833368,41.9555305,0
12144040940000,2002,7,190000,202,5456,67,914,5,2,0,0,0,0,1,0,0,-87.833368,41.9555305,0
12232080160000,2013,12,160000,202,3450,54,884,5,3,1,0,0,0,1,0,1,-87.8361945751911,41.9488687621979,1
12232160190000,2005,5,280000,203,3450,51,1017,4,2,1,0,0,0,1,1,0,-87.836117,41.946794,1
12232170280000,1991,5,120000,207,3720,55,1089,6,2,1,0,0,0,1,0,1,-87.8344389601275,41.9476637368386,1
12232170280000,2006,10,295000,207,3720,55,1089,6,2,1,0,0,0,1,0,1,-87.8344389601275,41.9476637368386,1
12232250250000,1992,8,100000,202,3720,72,812,4,2,0,0,0,0,1,0,0,-87.834356,41.945471,0
12232260100000,2003,10,286000,203,3720,45,1070,5,2,1,0,0,1,1,0,1,-87.8336665,41.9457385,1
12234010450000,2014,12,194300,202,3420,48,899,4,2,1,1,0,0,1,0,1,-87.8343457041184,41.9445184441946,1
12234240040000,1993,7,173000,203,3600,33,1200,4,3,0,0,0,0,1,1,0,-87.8345409429817,41.9388797406636,0
12234240040000,1999,11,229000,203,3600,33,1200,4,3,0,0,0,0,1,1,0,-87.8345409429817,41.9388797406636,0
12234270380000,2013,5,162000,202,4500,50,931,5,3,1,1,0,0,1,0,1,-87.8303474968499,41.9379829148434,1
12241001040000,1999,5,170000,295,2849,16,1558,6,3,1,1,0,1,1.5,0,1,-87.8264418689723,41.9459677442993,1
12241001040000,2011,7,239000,295,2849,16,1558,6,3,1,1,0,1,1.5,0,1,-87.8264418689723,41.9459677442993,1
12241020210000,1993,4,100000,203,5130,78,1419,5,4,0,1,0,1,1.5,0,1,-87.8180013191802,41.9509892216401,0
12241020210000,1996,5,157000,203,5130,78,1419,5,4,0,1,0,1,1.5,0,1,-87.8180013191802,41.9509892216401,0
12241020210000,2002,12,244000,203,5130,78,1419,5,4,0,1,0,1,1.5,0,1,-87.8180013191802,41.9509892216401,0
12241030290000,1999,6,115900,203,3750,61,1024,5,3,0,0,0,1,1,0,0,-87.817813,41.9491765,1
12241030290000,2001,8,150000,203,3750,61,1024,5,3,0,0,0,1,1,0,0,-87.817813,41.9491765,1
12241070320000,2004,1,267000,202,4800,51,967,4,2,1,0,0,1,1,1,0,-87.8187422322499,41.9471994889013,1
12241070320000,2014,12,270000,202,4800,51,967,4,2,1,0,0,1,1,1,0,-87.8187422322499,41.9471994889013,1
12242040200000,2014,12,210000,203,3450,42,1064,5,3,1,1,0,1,1,1,0,-87.812036587974,41.9519176970019,1
12242090060000,2015,12,170000,203,4340,59,1080,5,3,1,1,0,1,1,1,0,-87.8160413717806,41.9489638595487,1
12242110110000,1991,1,98000,202,4734,75,880,6,3,1,0,0,0,1,1,0,-87.814101236764,41.9497146652289,0
12242110110000,2006,8,303000,202,4734,75,880,6,3,1,0,0,0,1,1,0,-87.814101236764,41.9497146652289,0
12242190230000,1994,6,135000,203,4926,52,1050,5,3,1,0,0,0,1.5,0,1,-87.8140435,41.9467825,1
12242190230000,2001,8,195000,203,4926,52,1050,5,3,1,0,0,0,1.5,0,1,-87.8140435,41.9467825,1
12242210380000,1994,10,132400,202,3750,53,849,5,2,1,1,0,1,1,0,1,-87.8110892597729,41.9475985146798,1
12242210380000,2003,6,255000,202,3750,53,849,5,2,1,1,0,1,1,0,1,-87.8110892597729,41.9475985146798,1
12243100090000,1998,1,113000,203,3780,4,1296,7,3,0,1,0,0,1.5,0,0,-87.8236805326916,41.9422877601284,1
12243100090000,2001,4,135000,203,3780,4,1296,7,3,0,1,0,0,1.5,0,0,-87.8236805326916,41.9422877601284,1
12243150420000,2007,7,345000,203,4977,44,1532,6,3,1,0,0,0,1,1,0,-87.8175765,41.9430915,0
12243230260000,1993,12,137500,203,3780,76,1086,4,2,0,0,0,0,1,1,0,-87.8169664652882,41.9406012398693,0
12243310150000,1993,9,95000,202,3750,78,800,4,2,1,0,0,1,1,0,1,-87.8169165,41.9392015,0
12243310150000,1996,5,106000,202,3750,78,800,4,2,1,0,0,1,1,0,1,-87.8169165,41.9392015,0
12244040310000,1995,9,124000,207,4284,58,999,4,2,1,1,0,0,1,1,0,-87.8114010370605,41.9435980375539,1
12244040310000,2002,5,201000,207,4284,58,999,4,2,1,1,0,0,1,1,0,-87.8114010370605,41.9435980375539,1
12244160140000,2000,6,215000,203,3990,34,1097,5,3,1,1,0,0,1,1,0,-87.81623,41.9400855,1
12244160140000,2006,6,380000,203,3990,34,1097,5,3,1,1,0,0,1,1,0,-87.81623,41.9400855,1
12244160140000,2012,1,120000,203,3990,34,1097,5,3,1,1,0,0,1,1,0,-87.81623,41.9400855,1
12244160140000,2012,7,202500,203,3990,34,1097,5,3,1,1,0,0,1,1,0,-87.81623,41.9400855,1
12244170250000,1990,8,109000,203,5760,53,1075,5,3,1,0,0,1,1,0,0,-87.8146485591804,41.9406930372259,1
12244170250000,1999,8,157500,203,5760,53,1075,5,3,1,0,0,1,1,0,0,-87.8146485591804,41.9406930372259,1
12244170250000,2003,8,264000,203,5760,53,1075,5,3,1,0,0,1,1,0,0,-87.8146485591804,41.9406930372259,1
12244180340000,2001,12,150500,203,4921,54,1032,4,2,0,0,0,0,1,0,0,-87.81332734618,41.9409757402826,0
12244180340000,2002,3,210000,203,4921,54,1032,4,2,0,0,0,0,1,0,0,-87.81332734618,41.9409757402826,0
12244260090000,2000,5,174000,203,7508,52,1474,5,3,1,1,0,1,1,0,1,-87.8137265853327,41.9385140524314,1
12244260090000,2005,3,340000,203,7508,52,1474,5,3,1,1,0,1,1,0,1,-87.8137265853327,41.9385140524314,1
12244290330000,1997,11,235000,278,7915,53,2104,8,4,1,1,0,0,2.5,1,0,-87.8095465045545,41.9384845002476,1
12244300220000,2007,8,258000,203,4092,62,1060,5,3,1,0,0,1,1.5,0,0,-87.8088685,41.939449,0
12244300220000,2013,5,260000,203,4092,62,1060,5,3,1,0,0,1,1.5,0,0,-87.8088685,41.939449,0
12252140050000,1997,1,129000,203,5320,77,1591,5,3,1,0,0,1,1,1,0,-87.8087318762509,41.9353880159613,0
12252140050000,2002,10,222000,203,5320,77,1591,5,3,1,0,0,1,1,1,0,-87.8087318762509,41.9353880159613,0
13011100260000,2004,1,310000,211,4092,54,3105,12,5,1,0,1,1,3.5,0,1,-87.7059655812479,41.9948372565316,1
13011270230000,1994,7,145000,203,4340,51,1238,6,3,1,1,0,0,1.5,0,1,-87.7034145,41.991174,1
13012210340000,1994,1,196000,211,4125,79,3024,7,5,0,0,0,0,3,1,0,-87.692516,41.992564,0
13012210340000,2006,9,530000,211,4125,79,3024,7,5,0,0,0,0,3,1,0,-87.692516,41.992564,0
13013230100000,2004,6,390100,203,3600,67,1231,5,3,0,0,0,0,1,1,0,-87.705619,41.983774,1
13014090350000,1996,9,140000,203,3720,80,1116,5,3,1,0,1,1,1,0,0,-87.697208784989,41.9871432379691,1
13014130460000,1994,1,263000,211,3720,34,2935,12,6,1,0,0,0,2.5,0,1,-87.6928737535035,41.9874965149133,1
13014230040000,1998,8,236000,211,3720,79,3088,12,6,1,0,0,0,2,0,0,-87.6904084615045,41.9863477469283,1
13014230040000,2001,12,342000,211,3720,79,3088,12,6,1,0,0,0,2,0,0,-87.6904084615045,41.9863477469283,1
13021030590000,1996,5,118000,295,1332,42,1344,6,3,1,1,0,0,1.5,0,0,-87.7235682252065,41.9969891263868,1
13021030590000,2002,8,230000,295,1332,42,1344,6,3,1,1,0,0,1.5,0,0,-87.7235682252065,41.9969891263868,1
13021030610000,1990,9,112125,295,2328,41,1325,6,3,1,1,0,0,1.5,0,0,-87.723386359924,41.9970713768337,1
13021120060000,1990,8,170000,207,3810,51,1815,7,4,1,1,0,0,1.5,0,1,-87.7223485,41.9949365,1
